tag,L,N_front,fs_old,fs_match_diff,full_front_frames,tail_raw_range,tail_frames,front_frames_out,side_mask_px,side_frames_in,side_tail_detect,side_frames_out,note,side_head_range,side_head_detect,error
D1_S2,334.0,37741.0,995.0,0.26,39650.0,38736-39069,334.0,37741.0,200.0,37741.0,334/334 maxgap 0,37741.0,,,,
D1_S3,335.0,58639.0,527.0,0.3,59810.0,59166-59500,335.0,58639.0,200.0,58639.0,331/335 maxgap 1,58639.0,,,,
D1_S4,167.0,30364.0,3149.0,0.28,33920.0,33513-33679,167.0,30364.0,200.0,30364.0,167/167 maxgap 0,30364.0,,,,
D20_S1,333.0,64118.0,4772.0,0.29,70030.0,68890-69222,333.0,64118.0,200.0,64118.0,333/333 maxgap 0,64118.0,,,,
D20_S2,335.0,28969.0,5346.0,0.33,34855.0,34315-34649,335.0,28969.0,200.0,28969.0,310/335 maxgap 25,28969.0,,,,
D20_S3,243.0,108375.0,6806.0,0.3,116435.0,115181-115423,243.0,108375.0,200.0,108375.0,243/243 maxgap 0,108375.0,,,,
D20_S4,336.0,33043.0,2862.0,0.28,36495.0,35905-36240,336.0,33043.0,200.0,33043.0,311/336 maxgap 8,33043.0,,,,
D2_S1,333.0,56097.0,13991.0,0.29,71000.0,70088-70420,333.0,56097.0,200.0,56097.0,333/333 maxgap 0,56097.0,,,,
D2_S2,338.0,38857.0,1432.0,0.28,40960.0,40289-40626,338.0,38857.0,200.0,38857.0,338/338 maxgap 0,38857.0,,,,
D2_S3,332.0,28892.0,7187.0,0.35,37830.0,36079-36410,332.0,28892.0,,,,,,,,
D2_S4,338.0,36679.0,930.0,0.26,38470.0,37609-37946,338.0,36679.0,200.0,36679.0,275/338 maxgap 20,36679.0,,,,
D3_S1,334.0,84575.0,7123.0,0.39,93030.0,91698-92031,334.0,84575.0,200.0,84575.0,319/334 maxgap 13,84575.0,,,,
D3_S2,335.0,26501.0,4520.0,0.3,32555.0,31021-31355,335.0,26501.0,200.0,26501.0,335/335 maxgap 0,26501.0,,,,
D3_S3,332.0,68488.0,7003.0,0.32,76155.0,75491-75822,332.0,68488.0,200.0,68488.0,332/332 maxgap 0,68488.0,,,,
D4_S3,333.0,105134.0,713.0,0.27,106790.0,105847-106179,333.0,105134.0,200.0,105134.0,297/333 maxgap 12,105134.0,,,,
D4_S4,334.0,34318.0,3646.0,0.29,38530.0,37964-38297,334.0,34318.0,200.0,34318.0,333/334 maxgap 1,34318.0,,,,
