tag,mean_old,mean_new,frac_new_1,frac_new_0
D16_S3,0.3466370717815562,0.41004271714548957,0.12513610855180501,0.3050506742608259
D16_S4,0.33456322297566815,0.5519545273234943,0.3450339050658157,0.24112485041882728
D17_S1,0.36985213246975435,0.517780765000611,0.2341439569839912,0.19858242698276915
D17_S2,0.17328575860999068,0.7134657151721998,0.5032578343158548,0.07632640397145517
D17_S3,0.2944686711039706,0.48890674011169766,0.27932063346339225,0.30150715323999694
D17_S4,0.3396734556471974,0.47769735734724794,0.2747012287493688,0.3193065140548729
D18_S1,0.45921654197838735,0.5752285951787198,0.33967165419783873,0.189214463840399
D18_S2,0.36798830623058654,0.7295815823131737,0.6095377306778732,0.15037456605152566
D18_S3,0.45097054886211513,0.5127175368139224,0.26584114234716644,0.24040606871932174
D18_S4,0.43994049832651544,0.6987727779843809,0.4769431015247304,0.07939754555596876
D19_S1,0.1470545027177905,0.37762597326281766,0.2150727192595857,0.45982077273395033
D19_S2,0.0773023699697789,0.766820423095276,0.6546842691267695,0.12104342293621759
D19_S3,0.058245083207261725,0.6694984289537996,0.5729081810776213,0.2339113231700221
D19_S4,0.08344606019614474,0.7602299628001352,0.6515049036185323,0.13104497801826176
D2_S1,0.4454225352112676,0.3335167253521127,0.17627640845070422,0.5092429577464789
D2_S2,0.4349163774061218,0.36517828968128746,0.025875670558535815,0.29551909119596087
D2_S4,0.4223144696712979,0.4340054218908844,0.12876990850559134,0.26075906472382243
D20_S1,0.316066850251638,0.7233406134270249,0.5463868578482576,0.09970563099420758
D20_S2,0.310598111227702,0.8928646379853096,0.8205666316894019,0.03483735571878279
D20_S3,0.2908766766653461,0.6448016299733997,0.414398098364367,0.12479483841756749
D20_S4,0.2511939750183688,0.8331190301249082,0.7340191036002939,0.06778104335047759
D3_S1,0.40275007124536905,0.9103377030493018,0.8468937019093759,0.0262182958107723
D3_S2,0.43952260729859993,0.9273582740417718,0.8774386045444112,0.02272205646086757
D3_S3,0.005194576509948935,0.9989874977989083,0.9979749955978165,0.0
D3_S4,0.023227969348659006,0.9976851851851852,0.9958492975734355,0.0004789272030651341
D4_S1,0.2316540347748551,0.8587605884975479,0.7932233615693268,0.07570218457423095
D4_S2,0.4687442204549658,0.6447198076567413,0.4836323284631034,0.19419271314962086
D4_S3,0.024504752089774418,0.9697984655902897,0.9416008244589488,0.0020038932783694036
D4_S4,0.42149417167078773,0.5642882373719533,0.1635464500176616,0.03496997527375486
D5_S1,0.43303121852970794,0.5833836858006042,0.3180261832829809,0.1512588116817724
D5_S2,0.1850790513833992,0.8175889328063242,0.7197628458498023,0.08458498023715415
D5_S3,0.26072275307134135,0.5922120842014512,0.4205043465766219,0.23608017817371937
D5_S4,0.1443050193050193,0.8311776061776062,0.7424710424710425,0.08011583011583012
D6_S1,0.40262760144169285,0.622427624694803,0.40169747703755376,0.15684222764794792
D6_S4,0.45249839159339483,0.4856315676603045,0.1306026163414111,0.15933948102080206
D7_S1,0.13568479535144504,0.8846016616545186,0.857790916968245,0.08858759365920792
D7_S2,0.059000602046959665,0.9293598233995585,0.877583784868553,0.018864138069436084
D7_S3,0.07991669146087474,0.8581374590895566,0.717762570663493,0.001487652484379649
D7_S4,0.06775067750677506,0.9031165311653117,0.8319783197831978,0.025745257452574527
D8_S1,0.5614758072335887,0.46194123921264424,0.0125084844371182,0.08862600601182972
D8_S2,0.5398671096345515,0.47352574750830567,0.0,0.052948504983388704
D8_S3,0.49406635364532275,0.4393478148702337,0.05102935865022445,0.17233372890975698
D8_S4,0.5255553699682646,0.4870552864539836,0.011023885084349424,0.03691331217638216
D9_S1,0.3823122405334004,0.6217134230720845,0.40659202415398166,0.16316517800981256
D9_S2,0.23598341445826573,0.6721651343068326,0.43392824950423653,0.08959798089057149
D9_S3,0.07430541674995003,0.7441535078952628,0.5999400359784129,0.11163302018788726
D9_S4,0.18860668932212485,0.7257199069933822,0.517259881953139,0.06582006796637453
