tag,fused_rows,front_frames,side_frames,facial_rows,facial_detections,facial_sum_ok,facial_frame_min,facial_frame_max,pose_rows,pose_detected,pose_frame_max
D17_S3,69288,82810,82810,82802,82386,82386,0,82809,13802,13071,82807.0
D17_S4,30798,36623,36623,36623,36559,36559,0,36622,6104,5941,36621.0
D18_S1,48960,58421,58421,58413,58256,58256,0,58420,9737,9624,58419.0
D18_S2,28405,33747,33747,33747,32111,32111,0,33746,5625,5473,33745.0
D18_S3,45696,54500,54500,54492,54427,54427,0,54499,9083,8964,54495.0
D18_S4,27558,32734,32734,32734,32709,32709,0,32733,5455,5378,32729.0
D19_S1,34541,41115,41115,41107,40650,40650,0,41114,6852,6807,41109.0
D19_S2,31893,37937,37937,37937,37454,37454,0,37936,6323,6287,37935.0
D19_S3,43875,52312,52312,52304,51487,51487,0,52311,8719,8593,52309.0
D19_S4,30417,36330,36330,36330,35676,35676,0,36329,6055,5914,36327.0
D2_S1,46748,55764,55764,55756,55516,55516,0,55763,9294,9088,55762.0
D2_S2,32381,38519,38519,38519,38458,38458,0,38518,6420,6338,38514.0
D2_S3,24077,28560,0,28560,28268,28268,0,28559,0,0,
D2_S4,30566,36341,36341,36341,36202,36202,0,36340,6057,5902,36340.0
D20_S1,53432,63785,63785,63777,63683,63683,0,63784,10631,10531,63781.0
D20_S2,24141,28634,28634,28634,28587,28587,0,28633,4773,4765,28633.0
D20_S3,90313,108132,108132,108116,105009,105009,0,108131,18022,17669,108127.0
D20_S4,27536,32707,32707,32707,32661,32661,0,32706,5452,5444,32706.0
D3_S1,70479,84241,84241,84225,83629,83629,0,84240,14040,14036,84235.0
D3_S2,22084,26166,26166,26166,25537,25537,0,26165,4361,4357,26165.0
D3_S3,57073,68156,68156,68148,67970,67970,0,68155,11359,11358,68151.0
D3_S4,31603,37586,37586,37586,37512,37512,0,37585,6264,6264,37581.0
D4_S1,56634,67630,67630,67622,66581,66581,0,67629,11272,11215,67628.0
D4_S2,27318,32449,32449,32449,29964,29964,0,32448,5408,5407,32443.0
D4_S3,87612,104801,104801,104785,104094,104094,0,104800,17467,17466,104800.0
D4_S4,28599,33984,33984,33984,33789,33789,0,33983,5664,5662,33982.0
D5_S1,76875,91996,91996,91980,91124,91124,0,91995,15332,14895,91991.0
D5_S2,25575,30357,30357,30357,30287,30287,0,30356,5060,5060,30356.0
D5_S3,70091,83776,83776,83760,82904,82904,0,83775,13963,13919,83772.0
D5_S4,26197,31103,31103,31103,31052,31052,0,31102,5184,5180,31098.0
D6_S1,43375,51932,51932,51924,51486,51486,0,51931,8656,8601,51930.0
D6_S3,52496,62656,0,62648,62453,62453,0,62655,0,0,
D6_S4,23644,28037,28037,28037,27763,27763,0,28036,4673,4663,28035.0
D7_S1,98665,118063,118063,118047,117111,117111,0,118062,19677,19619,118059.0
D7_S2,25196,29901,29901,29901,29690,29690,0,29900,4983,4983,29896.0
D7_S3,84318,100848,100848,100832,99671,99671,0,100847,16808,16805,100842.0
D7_S4,25923,30999,30999,30999,30745,30745,0,30998,5166,5166,30994.0
D8_S1,51928,61981,61981,61973,61433,61433,0,61980,10330,10313,61978.0
D8_S2,24356,28893,28893,28893,28607,28607,0,28892,4816,4816,28890.0
D8_S3,97181,116284,116284,116268,115575,115575,0,116283,19381,19381,116283.0
D8_S4,30216,35926,35926,35926,35869,35869,0,35925,5987,5987,35920.0
D9_S1,79873,95514,95514,95498,94369,94369,0,95513,15919,15898,95508.0
D9_S2,28014,33281,33281,33281,33006,33006,0,33280,5547,5547,33276.0
D9_S3,50428,60181,60181,60173,59554,59554,0,60180,10030,10006,60176.0
D9_S4,28236,33548,33548,33548,33095,33095,0,33547,5592,5591,33547.0
